idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score
0, 1923,1923,0.0005078315734863281,0.8998134136199951,1.0
1, Brierley Hill near Birmingham.,Brierley Hill,0.0005240440368652344,1.6192328929901123,0.7880532741546631
2, When they are repugnant to domestic law or indigenous conditions.,repugnant to domestic law or indigenous conditions,0.0005016326904296875,2.8515098094940186,0.836441695690155
3," In the United States, when both the federal and state governments have regulations that overlap, the federal regulations take precedence, as they are considered supreme under the Supremacy Clause of the Constitution.",coexist with each other,0.0004923343658447266,7.951105356216431,0.2630230784416199
4," 46,000","46,000",0.0004949569702148438,1.0720548629760742,1.0
5, The Supreme Court.,the Supreme Court,0.0004911422729492188,1.0706124305725098,0.9724016785621643
6, Tuva,Tuva,0.00047516822814941406,0.6591792106628418,1.0000001192092896
7, a slip law.,a slip law,0.00048470497131347656,1.0752389430999756,0.9758548140525818
8," 33,000","33,000",0.0004863739013671875,1.0731451511383057,1.0
9, ITV,ITV,0.0004909038543701172,0.44892096519470215,1.0000001192092896
10, Pickled cockles and mussels.,pickled cockles and mussels,0.0004773139953613281,1.9015209674835205,0.9778863191604614
11," The Magdala in South Hill Park, Hampstead.",The Magdala,0.0005390644073486328,2.7354190349578857,0.5799645185470581
12, Off-sales counter.,off-sales counter,0.0004837512969970703,1.0804178714752197,0.9611539244651794
13, 1868,1868,0.0004916191101074219,0.8719086647033691,1.0
14, Yes,"Catholic Church has taught that even had man never sinned in the Garden of Eden and was sinless, he would still require God's grace to remain sinless.",0.00048732757568359375,0.4547116756439209,-0.010053394362330437
15, Chapter 11,Chapter 11,0.0005125999450683594,0.871549129486084,1.0000001192092896
16, The Beer Act of 1830.,Wine and Beerhouse Act 1869,0.0004870891571044922,1.9190099239349365,0.7046360969543457
17, The Historic Atlantic City Convention Hall.,Historic Atlantic City Convention Hall,0.0004885196685791016,1.7085402011871338,0.9799222946166992
18, 1742,1742,0.0004913806915283203,0.8701493740081787,1.0
19, A group of local Quakers in Atlantic City.,a group of local Quakers,0.00048041343688964844,2.340872287750244,0.898390531539917
20, Radio.,radios,0.0004932880401611328,0.6619431972503662,0.8008596897125244
21, The 1960s and 1970s.,the 1960s and 1970s,0.0004849433898925781,2.5494954586029053,0.9845267534255981
22, 11:30 pm,11.30 pm,0.0004906654357910156,1.2941391468048096,0.9308903217315674
23, The CRDA (Casino Reinvestment Development Authority) would oversee all functions of the district and make changes to attract new businesses and attractions.,The CRDA,0.00048232078552246094,6.143937826156616,0.574573278427124
24, Los Alamos,Los Alamos,0.0004856586456298828,0.8819353580474854,1.0
25, Nine Men's Morris.,Nine Men's Morris,0.0004868507385253906,1.3098232746124268,0.9841631650924683
26, Soho,Soho,0.00048160552978515625,0.6693532466888428,1.0
27, 1446,1446,0.0004923343658447266,0.8809499740600586,1.0
28, 16.5 inches.,16.5 inches,0.0004839897155761719,1.5197594165802002,0.9837433099746704
29, Edward Gibbon wrote that the Roman Catholic Church borrowed the doctrine of the Immaculate Conception from the Koran.,The Latin Church has not disdained to borrow from the Koran the immaculate conception of his virgin mother,0.00048160552978515625,5.346444368362427,0.6021276116371155
30, A bolus.,a bolus,0.00048828125,1.0923223495483398,0.9732646942138672
31, A new law given at the OFR of the NARA is assigned a law number and prepared for publication as a slip law.,a law number,0.0004878044128417969,5.760076522827148,0.6445430517196655
32," The 50 states in the United States are commonly referred to as the ""United States of America"" or simply the ""USA"".",separate sovereigns,0.0004839897155761719,5.761887311935425,0.2185906171798706
33, They believe that Mary was conceived without original sin.,"dogmatic declaration of her immaculate conception as an ""over-elaboration""",0.0004935264587402344,2.3695311546325684,0.49592459201812744
34," Teeth are made of tissues of varying density and hardness, such as enamel, dentine, and cementum.","enamel, dentine and cementum",0.00048828125,4.9085259437561035,0.6873509287834167
35," ""the chosen people""",the chosen people,0.0005018711090087891,1.3044109344482422,0.9349091053009033
36, July 2003,July 2003,0.00048232078552246094,1.0904579162597656,1.0
37, He influenced the interconnects.,influencing the interconnects,0.0005092620849609375,1.7286746501922607,0.687247097492218
38, Netherlands,Netherlands,0.0004870891571044922,0.4556233882904053,1.0
39," Dead grass, leaves, and weeds.","dead grass, leaves, and weeds",0.00047850608825683594,1.9371981620788574,0.9358745813369751
40, The document attempted to clarify the concept of the Immaculate Conception.,teaching about Mary in the two definitions,0.0004870891571044922,3.4243104457855225,0.405529260635376
41," $20,069","$20,069",0.0004894733428955078,1.091810703277588,1.0
