idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score
0, 1904,"April 22, 1904",0.0004885196685791016,0.5688796043395996,0.8493005037307739
1, Yes.,yes,0.0005168914794921875,0.38326549530029297,0.836855947971344
2, Luzhou,Luzhou,0.0005118846893310547,0.3888373374938965,1.0
3, The CrossCabriolet.,CrossCabriolet,0.0005123615264892578,0.8713085651397705,0.9130671620368958
4, Film industry.,filmmaker,0.0005195140838623047,0.5016622543334961,0.6184248924255371
5," Tuftonboro, New Hampshire.","2,387",0.0005159378051757812,1.1113333702087402,0.005663163959980011
6," Houston, Texas.","Houston, Texas",0.0005137920379638672,0.6211161613464355,0.9787132740020752
7, Buenos Aires.,Buenos Aires,0.0005168914794921875,0.50003981590271,0.9760341048240662
8, Bletilla has more species.,Bletilla,0.0005145072937011719,0.9807627201080322,0.7279349565505981
9, Film director.,film director,0.0005075931549072266,0.4998795986175537,0.9636179208755493
10, Statehood.,Statehood,0.0005190372467041016,0.5104501247406006,0.9485887289047241
11, The Fifth Element,The Fifth Element,0.0005156993865966797,0.5013301372528076,1.0000001192092896
12, Undertow.,Undertow,0.0005021095275878906,0.5111062526702881,0.9811328649520874
13, Shane Meadows,Shane Meadows,0.0005097389221191406,0.38123393058776855,0.9999999403953552
14, 1992,1992,0.0005114078521728516,0.5011847019195557,1.0
15, 1897-1963,1897 until 1963,0.0005137920379638672,0.8679819107055664,0.9213283061981201
