idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
0, Selena,Selena,88.7690646648407,92.79294013977051,1.0
1, Liberia,Liberia,88.1001136302948,91.65404510498047,1.0000001192092896
2, Son of Flubber,Splash,88.35643100738525,93.20899844169617,0.26239997148513794
3, Fulco Ruffo di Calabria,Fulco VIII,88.45157432556152,95.45158672332764,0.5353886485099792
4, District 13,District 13,88.20159912109375,92.59692120552063,0.9999999403953552
5, 1988,1991,88.31463599205017,92.74429774284363,0.642723023891449
6, Joe Montana,Joseph Clifford Montana Jr.,88.41299629211426,92.43798112869263,0.7519740462303162
7, The Terminator,The Terminator,88.69712615013123,92.67422366142273,1.0000001192092896
8, Cocktail,Cocktail,88.28831696510315,91.82481527328491,1.0
9, 2005,2011,87.98001503944397,92.4012610912323,0.7365822792053223
10, World No. 1,No. 1,88.32930994033813,93.59983611106873,0.6400648951530457
11, 1944,1944,88.36808323860168,92.7956280708313,1.0
12," King Edward's School, Birmingham.","King Edward's School, Birmingham",87.83350658416748,93.95641732215881,0.9834340214729309
13, SATA Air Açores,SATA Air Açores.,88.7516975402832,93.59509110450745,0.9741371273994446
14, Ogunquit,Ogunquit,88.7780385017395,93.18974900245667,1.0
15, 1968,1968,88.35840082168579,92.7581582069397,1.0
16, Neil Diamond,Neil Diamond,88.46675968170166,92.45527648925781,1.0000001192092896
17, EuroTrip,Schaffer,88.13872146606445,92.10724115371704,0.20538640022277832
18, Alternative rock.,rock,88.75721645355225,93.16414046287537,0.7543545961380005
19, Steven Spielberg,Steven Spielberg,88.42059516906738,92.40561699867249,1.0000001192092896
20," ""2 Wicky""",2 Wicky,88.26306056976318,93.51749730110168,0.8768749237060547
21, 2002,1922,88.11148452758789,92.52280139923096,0.3737708330154419
22, 1885,1878,88.40409803390503,92.81997537612915,0.748400092124939
23, Sigismund Kęstutaitis,Sigismund Kęstutaitis,88.10903406143188,95.07441258430481,1.0
24," The Long Haul starred Steve Brodie, who also starred in the 1940 film ""They Drive by Night"".",One Million B.C.,88.37195801734924,101.79853057861328,0.02348611131310463
25, 1949,1949,88.6134181022644,93.02624726295471,1.0000001192092896
26, United States.,American,88.41633629798889,92.8625385761261,0.5898011326789856
27, 2013,1992,88.29651093482971,92.67928171157837,0.5888144373893738
28, The Ivan Allen Jr. Prize for Social Courage.,Ivan Allen Jr. Prize for Social Courage,88.63181924819946,96.07589173316956,0.9786014556884766
29, Yeon Woo-jin,"Marriage, Not Dating",88.80077624320984,94.06361556053162,-0.010931562632322311
30," Maurice Elvey was born in 1887, and Chester Erskine was born in 1905.",Maurice Elvey,88.35168266296387,100.94440984725952,0.6246079206466675
31, Rudolf Hess,Rudolf Hess,88.41377115249634,92.8277838230133,1.0000001192092896
32, 1895,1895,88.05789113044739,92.45375680923462,1.0000001192092896
33, Vladimir Mayakovsky,Vladimir Vladimirovich Mayakovsky,88.27927589416504,93.17453455924988,0.9296002388000488
34, Dutch culture,Dutch,88.77333974838257,92.7936942577362,0.7808257341384888
35, Honolulu Police Department,Alapa'i Police Headquarters,88.36219239234924,92.76185703277588,0.6039702296257019
36, The M55 motorway.,M55 motorway,88.40388369560242,94.10438942909241,0.9531938433647156
37, Yes.,yes,88.05736875534058,92.02168035507202,0.836855947971344
38, Al Ewing,Al Ewing,88.26485133171082,92.74373769760132,1.0
39, LOT Polish Airlines,LOT Polish Airlines,88.35473251342773,92.78686451911926,1.000000238418579
40, C.S. Lewis,C. S. Lewis,88.7350401878357,93.56914353370667,1.0
41, 1989,1989,88.58459901809692,93.03490972518921,0.9999999403953552
42," Hampden, Maine","7,257",88.04886817932129,92.91812753677368,0.07106195390224457
43, Jeff Mangum,Jeff Mangum,88.35815906524658,92.78846478462219,1.0
44, Gulf South Conference,NCAA,88.39940452575684,92.81168699264526,0.4246295392513275
45," September 2, 1989","September 2, 1989",88.16896796226501,94.26061630249023,1.0
46, Yes.,yes,88.78058576583862,92.74909043312073,0.836855947971344
47, PewDiePie,Felix Arvid Ulf Kjellberg,88.10264897346497,92.50464987754822,0.3345109820365906
48, 5 days,five days,88.24925899505615,92.67734694480896,0.9571592211723328
49, David Bowie and Bing Crosby,Crosby and Bowie,88.84355163574219,94.10600233078003,0.8754696846008301
50, United States.,United States,88.28766655921936,92.6724750995636,0.9286460876464844
51," Margaret Wilson was born in 1882, while Thomas Wolfe was born in 1900.",Margaret Wilson,88.38779425621033,99.67356967926025,0.5091629028320312
52, Patrick Schwarzenegger,Arnold Schwarzenegger,88.78978657722473,94.07895374298096,0.8888945579528809
53, Harvey Birdman.,Attorney,88.07608342170715,92.89982008934021,0.30633842945098877
54, September 11.,September 11,88.42511129379272,93.33189034461975,0.9703940749168396
55, Eoin Morgan,Eoin Morgan,88.66971802711487,93.07984924316406,1.0000001192092896
56, A piebald animal.,rare Danish breed of cattle,88.60966944694519,94.35054802894592,0.3375004231929779
57, Blue Valley Northwest High School,Blue Valley North High School,88.46733069419861,93.75627613067627,0.9661908149719238
58, Fifty Shades Freed,Fifty Shades Freed,88.08271908760071,92.49058079719543,0.9999998807907104
59, Max Gail,Max Gail,88.76410484313965,93.21667695045471,1.0000001192092896
60, Walt Disney Productions,Walt Disney,88.73142647743225,93.19937467575073,0.879239022731781
61, Don Gibson,Don Gibson,88.36852526664734,92.36934399604797,1.0000001192092896
62, Michael Anderson (born 1920) is older than Angelina Jolie (born 1975).,"Michael Joseph Anderson, Sr. (born 30 January 1920)",88.37597417831421,100.53379845619202,0.6347499489784241
63," ""Born This Way"".",Born This Way,88.57243633270264,93.88758754730225,0.8197454214096069
